original_meaning,original_word,generated_word,trial,model,language,words_per_meaning
넓고 얇은 쇠붙이 따위가 자꾸 서로 부딪쳐 울리는 소리.,쩌르렁쩌르렁,,trial2,Qwen/Qwen3-4B,ko,2
넓고 얇은 쇠붙이 따위가 자꾸 서로 부딪쳐 울리는 소리.,쩌르렁쩌르렁,,trial2,Qwen/Qwen3-4B,ko,2
여럿이 다 또는 몹시 꽉 차고도 남을 만큼 넉넉한 상태.,흠씬흠씬,,trial2,Qwen/Qwen3-4B,ko,2
여럿이 다 또는 몹시 꽉 차고도 남을 만큼 넉넉한 상태.,흠씬흠씬,,trial2,Qwen/Qwen3-4B,ko,2
주위에 아무것도 없어서 아주 또는 계속 공허한 느낌.,하전하전,,trial2,Qwen/Qwen3-4B,ko,2
주위에 아무것도 없어서 아주 또는 계속 공허한 느낌.,하전하전,,trial2,Qwen/Qwen3-4B,ko,2
나뭇가지나 물건의 틈 사이로 바람이 자꾸 몰아쳐 부는 소리.,쐐쐐,,trial2,Qwen/Qwen3-4B,ko,2
나뭇가지나 물건의 틈 사이로 바람이 자꾸 몰아쳐 부는 소리.,쐐쐐,,trial2,Qwen/Qwen3-4B,ko,2
작은 물건이 계속 구르는 모양.,대굴대굴,,trial2,Qwen/Qwen3-4B,ko,2
작은 물건이 계속 구르는 모양.,대굴대굴,,trial2,Qwen/Qwen3-4B,ko,2
